"country","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Vanuatu",60.7,70.4,11.5,7.1,3085,-0.693895894074654
"Nepal",60.2,68.4,12.9,5.1,3877,-0.215433382275885
"Eswatini (Kingdom of)",59.7,57.1,13.7,5.6,7679,0.057973767323411
"Equatorial Guinea",59.6,60.6,9.7,5.9,12074,-1.30906198067307
"Cambodia",59.3,69.6,11.5,5.1,4079,-0.693895894074654
"Zimbabwe",59.3,59.3,12.1,8.7,3810,-0.488840531875182
"Angola",58.6,61.6,12.2,5.4,5466,-0.45466463817527
"Myanmar",58.5,65.7,10.9,6.4,3851,-0.898951256274126
"Syrian Arab Republic",57.7,72.1,9.2,5.1,4192,-1.47994144917263
"Cameroon",57.6,60.3,13.1,6.2,3621,-0.147081594876061
"Kenya",57.5,61.4,10.7,6.7,4474,-0.96730304367395
"Congo",57.1,63.5,12.3,6.2,2889,-0.420488744475357
"Zambia",56.5,61.2,10.9,7.2,3218,-0.898951256274126
"Solomon Islands",56.4,70.3,10.3,5.7,2482,-1.1040066184736
"Comoros",55.8,63.4,11.9,5.1,3142,-0.557192319275005
"Papua New Guinea",55.8,65.4,10.4,4.7,4009,-1.06983072477369
"Mauritania",55.6,64.4,9.4,4.9,5075,-1.41158966177281
"Côte d'Ivoire",55,58.6,10.7,5.2,5217,-0.96730304367395
"Tanzania (United Republic of)",54.9,66.2,9.2,6.4,2664,-1.47994144917263
"Pakistan",54.4,66.1,8.7,4.5,4624,-1.65082091767219
"Togo",53.9,61.6,13,5,2167,-0.181257488575973
"Haiti",53.5,63.2,9.7,5.6,2848,-1.30906198067307
"Nigeria",53.5,52.7,10.1,7.2,4790,-1.17235840587342
"Rwanda",53.4,66.1,11.2,4.4,2210,-0.79642357517439
"Benin",52.5,59.8,10.8,4.3,3409,-0.933127149974038
"Uganda",52.5,62.7,10.1,5.7,2181,-1.17235840587342
"Lesotho",51.4,53.1,12,6,2700,-0.523016425575094
"Malawi",51.2,62.9,12.7,4.5,1466,-0.283785169675709
"Senegal",51.1,67.1,9,2.9,3344,-1.54829323657246
"Djibouti",50.9,62.3,7.4,4.1,5025,-2.09510753577105
"Sudan",50.8,65.3,7.9,3.8,3575,-1.92422806727149
"Madagascar",50.1,64.5,10.1,5.1,1484,-1.17235840587342
"Gambia",50,62.1,9.4,4.6,2172,-1.41158966177281
"Ethiopia",49.8,65,9.7,3.2,2361,-1.30906198067307
"Eritrea",49.2,66.5,8.1,4.9,1729,-1.85587627987166
"Guinea-Bissau",48.3,59.7,10.6,3.6,1908,-1.00147893737386
"Liberia",48.1,60.7,10.4,5.1,1289,-1.06983072477369
"Congo (Democratic Republic of the)",47.9,59.2,9.8,7,1076,-1.27488608697316
"Afghanistan",47.8,62,10.3,3,1824,-1.1040066184736
"Sierra Leone",47.7,60.1,9.6,4.6,1622,-1.34323787437298
"Guinea",46.5,58.9,9.8,2.2,2481,-1.27488608697316
"Yemen",45.5,63.8,9.1,3.2,1314,-1.51411734287254
"Burkina Faso",44.9,59.3,9.1,2.1,2118,-1.51411734287254
"Mozambique",44.6,59.3,10.2,3.2,1198,-1.13818251217351
"Mali",42.8,58.9,7.4,2.3,2133,-2.09510753577105
"Burundi",42.6,61.7,10.7,3.1,732,-0.96730304367395
"Central African Republic",40.4,53.9,8,4.3,966,-1.89005217357158
"Niger",40,61.6,7,2.1,1240,-2.2318111105707
"Chad",39.4,52.5,8,2.6,1364,-1.89005217357158
"South Sudan",38.5,55,5.5,5.7,768,-2.74444951606938
