"year","age","racehisp","degree","eqwlth","conlegis"
2010,20,"Other","High School",NA,NA
2010,50,"White","Less Than High School",NA,NA
2010,72,"White","High School",NA,NA
2010,68,"Black","High School",5,"Hardly Any"
2010,41,"White","High School",NA,NA
2010,63,"White","Graduate",7,"Hardly Any"
2010,62,"White","Bachelor",6,"Hardly Any"
2010,52,"Other","Junior College",2,"Hardly Any"
2010,39,"White","Bachelor",NA,NA
2010,46,"Other","Less Than High School",1,"Hardly Any"
2010,19,"White","Less Than High School",3,"A Great Deal"
2010,45,"White","Bachelor",NA,NA
2010,72,"White","Graduate",1,"Hardly Any"
2010,77,"Other","Less Than High School",4,"Only Some"
2010,26,"White","High School",4,"Only Some"
2010,48,"White","Graduate",NA,NA
2010,65,"White","High School",7,"Hardly Any"
2010,79,"Black","High School",5,"A Great Deal"
2010,82,"Black","Bachelor",1,"Hardly Any"
2010,51,"Black","High School",1,"Hardly Any"
2010,38,"Black","Bachelor",NA,NA
2010,46,"Black","High School",1,"Hardly Any"
2010,47,"White","High School",NA,NA
2010,40,"Black","High School",3,"Only Some"
2010,56,"White","Junior College",3,"Hardly Any"
2010,79,"White","High School",1,"Only Some"
2010,43,"White","High School",NA,NA
2010,37,"Black","Less Than High School",7,"A Great Deal"
2010,30,"Hispanic","High School",7,"Hardly Any"
2010,29,"Hispanic","Less Than High School",NA,NA
2010,79,"White","High School",7,"Only Some"
2010,71,"White","High School",3,"Only Some"
2010,20,"Black","High School",NA,"Hardly Any"
2010,40,"Black","High School",3,"Hardly Any"
2010,27,"Hispanic","High School",NA,NA
2010,85,"White","High School",3,"A Great Deal"
2010,62,"White","Bachelor",7,"A Great Deal"
2010,29,"Black","High School",NA,NA
2010,30,"Black","High School",1,"Only Some"
2010,28,"Black","Bachelor",4,"Only Some"
2010,80,"Hispanic","High School",NA,NA
2010,27,"Black","Graduate",3,"Only Some"
2010,38,"White","Less Than High School",5,"Only Some"
2010,35,"Other","High School",NA,NA
2010,32,"Other","Less Than High School",NA,NA
2010,67,"White","Graduate",1,"Only Some"
2010,69,"White","High School",4,"Hardly Any"
2010,55,"White","Bachelor",NA,NA
2010,40,"White","High School",3,"Only Some"
2010,81,"White","Graduate",6,"Only Some"
2010,56,"White","Junior College",7,"Only Some"
2010,19,"White","High School",4,"Only Some"
2010,25,"White","Graduate",5,"Hardly Any"
2010,27,"White","Bachelor",NA,NA
2010,18,"Black","Less Than High School",6,"A Great Deal"
2010,35,"Hispanic","Graduate",NA,NA
2010,51,"White","High School",5,"Hardly Any"
2010,19,"White","Less Than High School",1,"Only Some"
2010,50,"White","High School",NA,NA
2010,53,"White","Bachelor",5,"Hardly Any"
2010,53,"White","High School",NA,NA
2010,67,"White","High School",3,"Hardly Any"
2010,40,"Black","High School",4,"Only Some"
2010,59,"White","Bachelor",NA,NA
2010,54,"White","Junior College",NA,NA
2010,55,"Black","High School",4,"Only Some"
2010,29,"Hispanic","High School",4,"Only Some"
2010,66,"Black","Junior College",3,"Only Some"
2010,77,"Other","High School",6,"Only Some"
2010,43,"Black","High School",NA,NA
2010,45,"Hispanic","High School",7,"Only Some"
2010,69,"Black","Less Than High School",2,"A Great Deal"
2010,54,"Hispanic","Less Than High School",7,"Only Some"
2010,46,"Hispanic","High School",NA,NA
2010,40,"Hispanic","High School",1,"Hardly Any"
2010,72,"Hispanic","Less Than High School",NA,NA
2010,60,"Hispanic","High School",1,"A Great Deal"
2010,81,"White","High School",7,"Only Some"
2010,30,"Hispanic","High School",5,"Only Some"
2010,41,"Hispanic","Bachelor",1,"Only Some"
2010,38,"Hispanic","High School",3,"Only Some"
2010,70,"Hispanic","High School",NA,NA
2010,54,"White","High School",4,"Hardly Any"
2010,37,"White","High School",5,"Only Some"
2010,65,"White","Graduate",2,"Only Some"
2010,20,"White","High School",NA,NA
2010,43,"Black","Less Than High School",1,"Hardly Any"
2010,48,"Black","High School",NA,NA
2010,59,"Black","High School",2,"Only Some"
2010,43,"Black","High School",7,"Hardly Any"
2010,81,"White","High School",1,"Only Some"
2010,67,"White","Bachelor",NA,NA
2010,56,"White","High School",6,"Only Some"
2010,65,"White","Junior College",NA,NA
2010,21,"Black","High School",1,"A Great Deal"
2010,59,"White","Junior College",NA,NA
2010,54,"Black","High School",NA,NA
2010,62,"Black","High School",3,"Hardly Any"
2010,49,"Hispanic","High School",7,"Only Some"
2010,47,"Black","High School",NA,NA
2010,50,"Black","High School",2,"Only Some"
2010,51,"White","High School",NA,NA
2010,54,"White","High School",2,"Only Some"
2010,89,"White","Less Than High School",1,"Hardly Any"
2010,21,"White","High School",7,"Only Some"
2010,45,"White","High School",1,"Only Some"
2010,62,"Black","Bachelor",5,"Only Some"
2010,21,"Black","Junior College",2,"Only Some"
2010,70,"Black","High School",NA,NA
2010,28,"White","Bachelor",6,"Only Some"
2010,44,"Hispanic","Bachelor",NA,NA
2010,33,"White","Less Than High School",2,NA
2010,25,"Hispanic","Less Than High School",NA,NA
2010,26,"White","High School",NA,NA
2010,28,"White","High School",NA,NA
2010,29,"Hispanic","High School",4,"A Great Deal"
2010,62,"White","High School",1,"Hardly Any"
2010,86,"White","Bachelor",6,"Hardly Any"
2010,43,"White","Less Than High School",NA,NA
2010,34,"Black","High School",1,"Hardly Any"
2010,45,"White","High School",NA,NA
2010,22,"White","High School",NA,NA
2010,37,"White","High School",5,"Only Some"
2010,29,"White","Bachelor",5,"Only Some"
2010,37,"Hispanic","High School",NA,NA
2010,37,"Black","High School",1,"Only Some"
2010,69,"White","Bachelor",2,"Hardly Any"
2010,56,"White","High School",5,"Hardly Any"
2010,37,"Black","High School",4,"Only Some"
2010,35,"Hispanic","Less Than High School",7,"A Great Deal"
2010,26,"White","High School",5,"A Great Deal"
2010,38,"White","High School",NA,NA
2010,52,"Black","High School",3,"Only Some"
2010,54,"White","Less Than High School",7,"Hardly Any"
2010,23,"Black","High School",NA,NA
2010,21,"White","High School",1,"Only Some"
2010,50,"Hispanic","High School",5,"Only Some"
2010,48,"Black","High School",1,"Only Some"
2010,56,"Black","High School",2,"Hardly Any"
2010,59,"Black","High School",1,"Hardly Any"
2010,74,"White","Bachelor",2,"Hardly Any"
2010,27,"Other","High School",4,"Hardly Any"
2010,33,"White","Bachelor",7,"Hardly Any"
2010,60,"White","Graduate",NA,NA
2010,51,"White","Bachelor",1,"Only Some"
2010,52,"Black","Less Than High School",1,"Only Some"
2010,41,"Black","High School",NA,NA
2010,32,"Hispanic","High School",NA,NA
2010,57,"Black","Bachelor",1,"Only Some"
2010,59,"Hispanic","Less Than High School",7,"Only Some"
2010,77,"Black","High School",1,"Hardly Any"
2010,81,"White","Less Than High School",5,"A Great Deal"
2010,33,"Hispanic","Less Than High School",5,"Only Some"
2010,43,"Other","Bachelor",1,"A Great Deal"
2010,65,"White","High School",NA,NA
2010,44,"White","Bachelor",4,"Hardly Any"
2010,61,"White","Graduate",6,"Hardly Any"
2010,33,"Black","Bachelor",NA,NA
2010,46,"White","Graduate",5,"Hardly Any"
2010,27,"Other","Graduate",NA,NA
2010,42,"Other","Graduate",3,"Only Some"
2010,46,"White","Bachelor",4,"Only Some"
2010,61,"White","High School",NA,NA
2010,71,"White","High School",1,"Only Some"
2010,40,"White","High School",NA,NA
2010,47,"White","Graduate",6,"Only Some"
2010,66,"White","Bachelor",NA,NA
2010,46,"White","High School",1,"Hardly Any"
2010,35,"Hispanic","High School",NA,NA
2010,53,"Black","High School",4,"A Great Deal"
2010,31,"Other","Graduate",3,"A Great Deal"
2010,23,"White","High School",6,"Only Some"
2010,67,"Hispanic","Less Than High School",4,NA
2010,30,"Hispanic","High School",1,"Only Some"
2010,62,"Other","Graduate",2,"Only Some"
2010,62,"White","Bachelor",NA,NA
2010,45,"Black","High School",7,"Hardly Any"
