"country","gender_inequality_index","maternal_mortality_ratio","adolescent_birth_rate","parliament_female","secondary_educ_female","secondary_educ_male","labor_force_participation_female","labor_force_participation_male","life_expectancy_female","life_expectancy_male","schooling_expected_female","schooling_expected_male","schooling_mean_female","schooling_mean_male","gni_per_capita_female","gni_per_capita_male","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Panama",39.2,52,69.9,22.5,70.2,68.7,50.4,72.6,79.6,73,13.6,12.5,10.8,10.3,23380,30531,80.5,76.2,13.1,10.5,26957,-0.187088967427693
"Malaysia",22.8,29,9.3,14.9,75,78.4,51.2,77.6,77.4,72.7,13.8,12.9,10.6,10.7,20672,32380,80.3,74.9,13.3,10.6,26658,-0.118469497173738
"Georgia",28,25,31.7,19.3,97.1,98.3,51,68,76.7,66.8,15.9,15.2,12.9,12.8,11285,18472,80.2,71.7,15.6,12.8,14664,0.670654410746736
"Mauritius",34.7,61,24.6,20,64.4,70.8,43.4,70.4,76.8,70.4,15.9,14.5,10,10.9,15016,29221,80.2,73.6,15.2,10.4,22025,0.533415470238828
"Serbia",13.1,12,14.9,39.2,88.6,95.3,46.6,62.3,77.2,71.2,15,13.9,11,11.8,15306,23270,80.2,74.2,14.4,11.4,19123,0.258937589223011
"Thailand",33.3,37,32.7,13.9,47.6,51.7,59,75,83,74.5,16.2,15.6,8.6,8.8,15457,18694,80,78.7,15.9,8.7,17030,0.773583616127668
"Albania",14.4,15,14.5,35.7,95.4,93,50.7,66.2,79.2,74.1,15.3,13.7,11.7,10.9,11637,16630,79.6,76.5,14.4,11.3,14131,0.258937589223011
"Bulgaria",21,10,38.6,23.8,94.9,96.5,49.1,62.6,75.5,68.4,14.2,13.6,11.5,11.3,18109,28357,79.5,71.8,13.9,11.4,23079,0.0873889135881246
"Barbados",26.8,27,42.3,29.4,95.4,86,56.1,63.7,79.4,75.6,17.7,13.8,10.3,9.1,10235,14555,79,77.6,15.7,9.9,12306,0.704964145873713
"Sri Lanka",38.3,36,15.7,5.4,84,84.2,30.9,68.5,79.5,73.1,14.5,13.8,10.8,10.8,7005,18573,78.2,76.4,14.1,10.8,12578,0.156008383842079
"Bosnia and Herzegovina",13.6,10,9.9,24.6,82.7,94,32.3,52.4,77.5,73.1,14.1,13.5,9.8,11.4,10709,19917,78,75.3,13.8,10.5,15242,0.0530791784611475
"Iran (Islamic Republic of)",45.9,16,30.2,5.6,71.6,76,14.4,68.1,76.8,71.2,14.7,14.5,10.6,10.7,3767,22041,77.4,73.9,14.6,10.6,13001,0.327557059476965
"Ukraine",20,19,15.6,20.8,96.2,95.8,48.1,63.6,76.7,66.5,15,14.9,11.5,10.7,10370,16605,77.3,71.6,15,11.1,13256,0.464795999984873
"North Macedonia",13.4,7,16.4,41.7,61.9,75.1,42.4,63.4,76.2,71.7,13.9,13.4,9.7,10.8,11147,20716,77,73.8,13.6,10.2,15918,-0.0155402917928072
"China",19.2,29,11,24.9,78.3,85.4,61.6,74.3,81.2,75.5,14.8,13.7,7.3,7.9,13980,20883,76.8,78.2,14.2,7.6,17504,0.190318118969056
"Dominican Republic",42.9,95,65.6,25.7,77.4,76.9,49.6,75.2,76.3,69.3,15.4,13.6,9.6,9,13695,22248,76.7,72.6,14.5,9.3,17990,0.293247324349988
"Moldova (Republic of)",20.5,19,27.8,39.6,96.1,98,33.9,43.9,73.5,64.4,14.8,14.1,11.9,11.8,12087,17961,76.7,68.8,14.4,11.8,14875,0.258937589223011
"Cuba",30.3,36,48.8,53.4,89.5,91.9,40.3,68.5,76.4,71.2,15.1,13.8,12.6,12.4,5103,10693,76.4,73.7,14.4,12.5,7879,0.258937589223011
"Peru",38,88,56.8,40,59.3,69.9,66.1,81.9,74.7,70.1,15.2,15.5,9.3,10.5,9813,14727,76.2,72.4,15.4,9.9,12246,0.602034940492782
"Armenia",21.6,26,18.5,33.6,96,97.1,42.7,63,77.4,66.6,13.8,12.5,11.3,11.3,8736,18558,75.9,72,13.1,11.3,13158,-0.187088967427693
"Mexico",30.9,33,54.4,49.8,65.1,66.7,43.8,75.4,74.9,66.1,15.2,14.5,9.1,9.4,12456,23600,75.8,70.2,14.9,9.2,17896,0.430486264857896
"Brazil",39,60,45.2,14.8,62.4,59.1,49.1,68.2,76,69.6,16,15.2,8.3,7.9,10903,17960,75.4,72.8,15.6,8.1,14370,0.670654410746736
"Colombia",42.4,83,59,19.6,58.9,56.5,52.2,78,76.4,69.4,14.7,14.2,9,8.7,10281,18599,75.2,72.8,14.4,8.9,14384,0.258937589223011
"Saint Vincent and the Grenadines",39,68,47.9,18.2,44.1,39.6,52.9,74.1,72.4,67.4,14.9,14.5,10.9,10.7,8720,15075,75.1,69.6,14.7,10.8,11961,0.361866794603942
"Maldives",34.8,53,7.3,4.6,46.4,41.5,34.3,67.5,81,79.1,14.2,11.9,7.1,7.5,6359,22119,74.7,79.9,12.6,7.3,15448,-0.358637643062579
"Algeria",49.9,112,11.7,7.5,46,56.9,15.7,64.5,78,74.9,15.3,14,7.7,8.4,3550,17787,74.5,76.4,14.6,8.1,10800,0.327557059476965
"Azerbaijan",29.4,26,40.1,18.2,93.6,97.6,60.4,67.3,73.3,65.6,13.6,13.4,10.2,10.9,10536,18076,74.5,69.4,13.5,10.5,14257,-0.0498500269197843
"Tonga",63.1,52,19,0,93.5,93.1,37.3,55.3,73.7,68.4,16.3,15.7,11.5,11.2,4842,8845,74.5,71,16,11.4,6822,0.807893351254645
"Turkmenistan",17.7,7,21.8,25,93.5,92.2,36.5,55.6,72.7,65.9,13,13.4,10.9,11.6,9227,16884,74.5,69.3,13.2,11.3,13021,-0.152779232300716
"Ecuador",36.2,59,63.2,39.4,53,52,53.3,76.5,77.5,70.3,14.9,14.3,8.8,8.8,7451,13180,74,73.7,14.6,8.8,10312,0.327557059476965
"Mongolia",31.3,45,26.7,17.1,79.3,73,51.5,66.6,75.7,66.5,15.6,14.4,9.9,8.8,8541,12666,73.9,71,15,9.4,10588,0.464795999984873
"Egypt",44.3,37,44.8,22.9,81.6,76.6,15.4,67.1,72.6,67.9,13.8,13.7,9.8,9.4,3536,19741,73.1,70.2,13.8,9.6,11732,0.0530791784611475
"Tunisia",25.9,43,6.7,26.3,42.9,51.8,25.5,67.2,77.1,70.7,16.5,14.5,6.9,8,4870,15778,73.1,73.8,15.4,7.4,10258,0.602034940492782
"Fiji",31.8,34,26.8,21.6,90.2,87.9,37.7,75.3,68.9,65.4,15,14.5,11,10.8,5664,14270,73,67.1,14.7,10.9,9980,0.361866794603942
"Suriname",42.7,120,56.1,29.4,69.9,70.7,43.4,65.1,73.6,67.2,14.2,11.9,9.9,9.6,8866,16506,73,70.3,13,9.8,12672,-0.22139870255467
"Uzbekistan",22.7,29,15.9,28.7,99.9,100,44.9,70.9,73.4,68.3,12.4,12.6,11.7,12.1,5427,10403,72.7,70.9,12.5,11.9,7917,-0.392947378189556
"Jordan",47.1,46,25.4,11.8,77.4,84.2,13.5,62.3,76.8,72.1,10.8,10.5,10.1,10.8,3778,15631,72,74.3,10.6,10.4,9924,-1.04483234560212
"Libya",25.9,72,6.9,16,70.5,45.1,34.1,61,74.4,69.6,13.1,12.6,8.5,7.2,9570,20960,71.8,71.9,12.9,7.6,15336,-0.255708437681647
"Paraguay",44.5,84,70.3,16.8,52.5,54,59.6,84.2,73.4,67.4,13.6,12.4,8.9,8.9,9410,15265,71.7,70.3,13,8.9,12349,-0.22139870255467
"Saint Lucia",38.1,117,36.9,24.1,49.9,43.8,63.2,73.2,74.7,67.8,13.4,12.4,8.8,8.3,9991,14147,71.5,71.1,12.9,8.5,12048,-0.255708437681647
"Guyana",45.4,169,66.6,35.7,69.5,62.2,40.3,64.1,69.1,62.5,12.8,12.2,8.7,8.5,14735,30534,71.4,65.7,12.5,8.6,22465,-0.392947378189556
"South Africa",40.5,119,61.2,46,68.9,87.7,46.2,59.9,65,59.5,14,13.3,9.7,12.2,9935,16129,71.3,62.3,13.6,11.4,12948,-0.0155402917928072
