"id","year","educ","agekdbrn","racehisp"
1228,2012,12,21,"white"
1229,2012,11,22,"black"
1232,2012,12,20,"black"
1233,2012,12,21,"white"
1234,2012,12,22,"black"
1235,2012,14,23,"white"
1236,2012,12,20,"white"
1237,2012,15,24,"white"
1239,2012,16,30,"white"
1240,2012,16,26,"white"
1241,2012,8,20,"white"
1242,2012,16,32,"white"
1245,2012,12,25,"white"
1246,2012,12,27,"white"
1247,2012,12,18,"white"
1248,2012,12,18,"white"
1249,2012,14,19,"white"
1251,2012,12,26,"white"
1254,2012,20,25,"black"
1255,2012,12,20,"black"
1256,2012,14,23,"white"
1257,2012,13,20,"black"
1259,2012,16,22,"black"
1260,2012,8,21,"white"
1261,2012,10,25,"white"
1262,2012,12,25,"white"
1263,2012,12,25,"white"
1264,2012,15,26,"white"
1265,2012,12,21,"white"
1266,2012,16,30,"white"
1268,2012,12,14,"black"
1271,2012,12,19,"white"
1273,2012,13,21,"white"
1274,2012,17,25,"white"
1275,2012,20,26,"black"
1276,2012,11,21,"black"
1278,2012,15,30,"black"
1281,2012,12,29,"white"
1283,2012,12,26,"black"
1284,2012,12,29,"black"
1285,2012,12,20,"black"
1286,2012,9,16,"black"
1287,2012,15,30,"black"
1290,2012,13,19,"black"
1291,2012,13,16,"white"
1292,2012,10,24,"white"
1294,2012,13,20,"white"
1295,2012,13,21,"black"
1296,2012,14,21,"black"
1298,2012,17,19,"white"
1299,2012,16,30,"white"
1300,2012,16,20,"white"
1301,2012,16,26,"white"
1302,2012,12,18,"white"
1303,2012,16,21,"black"
1304,2012,12,23,"white"
1305,2012,12,18,"black"
1306,2012,11,16,"black"
1307,2012,16,25,"black"
1308,2012,12,25,"white"
1310,2012,12,20,"white"
1311,2012,12,23,"white"
1312,2012,12,34,"white"
1313,2012,12,28,"white"
1315,2012,16,23,"white"
1317,2012,18,24,"white"
1318,2012,16,28,"white"
1319,2012,16,34,"white"
1320,2012,16,27,"other"
1321,2012,12,19,"white"
1322,2012,5,17,"white"
1323,2012,12,16,"white"
1324,2012,12,24,"white"
1325,2012,12,18,"white"
1326,2012,12,23,"white"
1327,2012,14,29,"white"
1329,2012,12,22,"white"
1330,2012,12,18,"white"
1332,2012,16,27,"white"
1333,2012,20,27,"white"
1335,2012,15,27,"white"
1336,2012,14,21,"white"
1337,2012,15,26,"white"
1338,2012,18,25,"white"
1340,2012,8,32,"white"
1341,2012,14,19,"white"
1342,2012,12,23,"white"
1343,2012,9,32,"white"
1344,2012,14,17,"white"
1345,2012,12,22,"white"
1346,2012,12,22,"white"
1347,2012,13,27,"white"
1348,2012,16,22,"white"
1349,2012,14,24,"white"
1350,2012,13,26,"white"
1351,2012,18,29,"white"
1352,2012,19,29,"white"
1353,2012,16,27,"white"
1354,2012,20,36,"white"
1355,2012,16,26,"white"
1356,2012,20,22,"white"
1357,2012,17,33,"white"
1358,2012,9,19,"white"
1359,2012,15,35,"white"
1360,2012,17,28,"white"
1361,2012,14,16,"white"
1363,2012,12,21,"black"
1364,2012,15,25,"white"
1365,2012,12,19,"white"
1367,2012,20,29,"white"
1369,2012,10,27,"white"
1370,2012,6,19,"white"
1371,2012,12,27,"white"
1372,2012,15,26,"white"
1373,2012,12,18,"black"
1374,2012,15,21,"black"
1375,2012,10,31,"white"
1376,2012,10,31,"white"
1377,2012,14,24,"white"
1378,2012,12,33,"black"
1379,2012,8,18,"white"
1380,2012,12,24,"white"
1384,2012,14,27,"white"
1385,2012,14,18,"white"
1387,2012,20,27,"white"
1389,2012,13,22,"white"
1390,2012,15,23,"white"
1391,2012,12,24,"white"
1395,2012,16,36,"white"
1396,2012,11,17,"white"
1399,2012,19,40,"white"
1401,2012,20,28,"white"
1403,2012,10,30,"white"
1404,2012,12,21,"white"
1405,2012,15,20,"white"
1406,2012,12,22,"white"
1407,2012,11,21,"hispanic"
1408,2012,8,20,"white"
1409,2012,13,29,"white"
1410,2012,14,32,"white"
1411,2012,10,17,"white"
1412,2012,12,21,"white"
1413,2012,16,26,"white"
1414,2012,14,22,"white"
1415,2012,15,21,"white"
1416,2012,20,20,"white"
1418,2012,12,19,"black"
1420,2012,13,24,"white"
1421,2012,18,17,"white"
1422,2012,17,28,"white"
1424,2012,12,20,"white"
1426,2012,12,25,"white"
1427,2012,14,16,"white"
