"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
69,"Native",NA,"Fairly Important","Essential","Not Very Important",NA,"Not Important At All","Not Important At All",NA,0,0
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant","Very Important","Very Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",29,1,0
63,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
70,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
61,"Native","Not Important At All","Fairly Important","Fairly Important","Not Very Important",NA,"Not Important At All",NA,NA,0,0
59,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Important At All",NA,0,0
38,"Native","Fairly Important","Very Important","Very Important","Very Important","Very Important","Not Very Important","Not Very Important",NA,0,0
80,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Native","Essential","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
32,"Immigrant","Essential","Essential","Essential","Very Important","Very Important","Fairly Important","Very Important",29,1,0
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Native","Fairly Important","Very Important","Essential",NA,"Not Very Important",NA,"Not Important At All",NA,0,0
68,"Immigrant",NA,"Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",33,0,0
56,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Native","Fairly Important","Very Important","Essential","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
80,"Immigrant","Very Important","Very Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",20,0,0
42,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Essential","Not Very Important","Not Very Important",NA,0,0
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native","Fairly Important","Very Important","Very Important",NA,"Not Important At All","Not Very Important","Not Important At All",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
58,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Very Important",NA,1,0
23,"Native","Essential","Fairly Important","Fairly Important","Essential","Fairly Important","Not Very Important","Fairly Important",NA,0,1
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,"Fairly Important","Not Very Important","Fairly Important","Not Important At All","Not Important At All",NA,0,0
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important",NA,0,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native","Fairly Important","Very Important","Very Important","Not Important At All","Fairly Important","Not Important At All","Fairly Important",NA,0,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Very Important","Very Important","Essential","Fairly Important","Very Important","Fairly Important","Fairly Important",NA,1,1
