"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
28702,"Glenwood Springs","CO",131682,47.5,0,0.003,0.064,0.035,0.025,0.042,0.424,45256,0.528,29.671,0.067,5292,11.906,-9.601,NA,0.008,-0.35,0.782,0.024,0.025,0.026,0.134,-0.212,0.296,0.001,0.142,0.108,0.521,-0.003,NA,"Glenwood Springs, CO"
36600,"Redding","CA",219295,41.8,1,0.007,0.042,0.034,0.029,0.038,0.424,33442,0.434,9.24,0.019,3203,5.688,-9.694,NA,0.014,-0.062,0.567,0.079,0.032,0.022,0.049,-0.633,0.251,0.004,0.238,0.133,0.561,-0.001,NA,"Redding, CA"
34002,"Idabel","OK",97397,43.3,0,0.059,0.163,0.015,0.017,0.011,0.423,26431,0.387,7.085,0.012,1318,4.887,-1.466,0,0.021,-0.138,0.552,0.197,0.007,0.01,0.034,-1.12,0.596,0.002,0.221,0.11,0.603,-0.005,NA,"Idabel, OK"
8503,"Valdosta","GA",241530,36.1,1,0.292,0.169,0.05,0.046,0.054,0.422,27878,0.511,11.761,0.02,2161,5.177,-3.559,0.041,0.021,0.002,0.622,0.168,0.013,0.014,0.037,-1.931,0.481,0.002,0.273,0.099,0.534,-0.012,NA,"Valdosta, GA"
29601,"Columbia","MO",302388,42.8,1,0.078,0.131,0.075,0.085,0.068,0.422,32705,0.39,11.061,0.019,1593,5.346,1.566,-0.004,0.033,0.179,0.682,0.092,0.019,0.017,0.029,1.107,0.523,0.001,0.209,0.102,0.527,-0.002,NA,"Columbia, MO"
4302,"Searcy","AR",94324,41.3,0,0.088,0.135,0.027,0.025,0.029,0.421,28365,0.434,8.856,0.012,1252,4.533,3.54,0.007,0.021,0.059,0.595,0.183,0.019,0.02,0.012,-0.742,0.61,0.001,0.197,0.105,0.615,-0.003,NA,"Searcy, AR"
21600,"Brainerd","MN",141542,45.7,0,0.002,0.226,0.021,0.019,0.02,0.42,35545,0.396,9.384,0.028,3062,6.687,9.205,0.018,0.021,-0.013,0.602,0.125,0.024,0.016,0.011,1.698,0.6,0.001,0.184,0.097,0.61,0.008,NA,"Brainerd, MN"
22200,"Cedar Rapids","IA",252901,47.5,1,0.021,0.082,0.056,0.046,0.065,0.42,40330,0.335,10.673,0.023,2109,5.973,3.361,-0.021,0.02,-0.114,0.712,0.192,0.018,0.017,0.021,1.241,0.58,0.002,0.177,0.097,0.581,-0.002,NA,"Cedar Rapids, IA"
25103,"Harrison","AR",76174,44.7,0,0.001,0.12,0.015,0.017,0.014,0.419,29629,0.418,9.6,0.014,1558,4.871,5.503,0.002,0.013,-0.097,0.586,0.209,0.013,0.013,0.03,0.176,0.455,0.002,0.177,0.114,0.625,-0.003,NA,"Harrison, AR"
3202,"Natchez","MS",69653,38.8,0,0.464,0.194,0.04,0.044,0.03,0.418,27488,0.554,12.508,0.014,1536,4.645,-19.332,0.012,0.029,0.261,0.519,0.111,0.007,0.011,0.012,-0.373,0.53,0.004,0.35,0.106,0.488,-0.013,NA,"Natchez, MS"
