"id","year","hrs1","class","region","racehisp"
532,2012,50,"Middle","South","Black"
533,2012,35,"Working","South","White"
536,2012,60,"Middle","South","White"
537,2012,40,"Middle","South","White"
538,2012,20,"Middle","South","White"
539,2012,24,"Working","South","White"
543,2012,40,"Working","South","Hispanic"
544,2012,35,"Working","South","Black"
545,2012,40,"Working","South","Black"
546,2012,35,"Working","South","Black"
548,2012,40,"Middle","South","Black"
549,2012,40,"Middle","South","Hispanic"
550,2012,32,"Working","South","White"
552,2012,30,"Middle","South","Black"
553,2012,45,"Working","South","White"
557,2012,30,"Middle","South","Black"
559,2012,40,"Middle","South","White"
560,2012,40,"Working","South","Hispanic"
563,2012,48,"Working","South","Hispanic"
564,2012,89,"Working","South","Black"
565,2012,40,"Middle","South","Hispanic"
566,2012,36,"Working","South","Other"
567,2012,40,"Middle","South","Black"
569,2012,25,"Working","South","Hispanic"
571,2012,40,"Working","South","White"
574,2012,50,"Middle","South","White"
581,2012,40,"Working","South","Other"
583,2012,57,"Working","Midwest","Other"
584,2012,70,"Upper","Midwest","White"
585,2012,80,"Middle","Midwest","Other"
586,2012,50,"Middle","Midwest","Black"
587,2012,40,"Middle","Midwest","White"
588,2012,40,"Middle","Midwest","Black"
591,2012,44,"Lower","Midwest","Black"
592,2012,47,"Lower","Midwest","Black"
593,2012,37,"Middle","Midwest","White"
594,2012,50,"Working","Midwest","White"
595,2012,59,"Working","Midwest","White"
597,2012,75,"Working","Midwest","Hispanic"
598,2012,50,"Upper","Midwest","White"
599,2012,42,"Middle","Midwest","White"
601,2012,40,"Middle","Midwest","White"
602,2012,55,"Middle","Midwest","White"
604,2012,20,"Working","Midwest","Other"
605,2012,40,"Working","Midwest","White"
606,2012,60,"Middle","Midwest","White"
607,2012,35,"Working","Midwest","White"
608,2012,46,"Working","Midwest","White"
610,2012,24,"Working","Midwest","White"
612,2012,46,"Working","Midwest","White"
613,2012,40,"Middle","Midwest","White"
615,2012,24,"Working","West","Other"
616,2012,40,"Middle","West","White"
619,2012,35,"Working","West","White"
621,2012,30,"Working","West","Black"
622,2012,10,"Middle","West","White"
623,2012,45,"Middle","West","White"
627,2012,4,"Upper","West","White"
629,2012,22,"Middle","West","White"
630,2012,30,"Working","West","White"
631,2012,60,"Middle","West","White"
635,2012,25,"Middle","West","White"
636,2012,42,"Working","West","White"
638,2012,40,"Middle","West","White"
639,2012,40,"Working","West","White"
640,2012,50,"Working","West","Hispanic"
643,2012,50,"Working","West","Hispanic"
644,2012,43,"Working","West","White"
645,2012,70,"Working","West","White"
647,2012,36,"Working","West","Hispanic"
650,2012,38,"Working","West","Hispanic"
651,2012,60,"Working","West","Other"
652,2012,40,"Working","West","Hispanic"
653,2012,16,"Lower","West","Hispanic"
655,2012,42,"Middle","West","White"
656,2012,45,"Working","West","Hispanic"
658,2012,42,"Working","West","Hispanic"
659,2012,40,"Working","West","White"
660,2012,24,"Middle","West","White"
662,2012,80,"Upper","West","White"
663,2012,18,"Working","Midwest","Black"
664,2012,40,"Working","Midwest","Black"
665,2012,19,"Middle","Midwest","Black"
669,2012,45,"Middle","Midwest","White"
672,2012,48,"Middle","Midwest","White"
673,2012,40,"Working","Midwest","White"
